DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,number available,venue
"
2021-12-2310:05
",0,https://losangeles.craigslist.org/sfv/atq/d/valencia-vintage-glass-serving-dish/7424349472.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1723:05
",20,https://losangeles.craigslist.org/sfv/hsh/d/van-nuys-glass-platter-and-bowls-green/7422231968.html,,,,new,,,,,,,,,,Unknown,Unknown,"12"" diameter, 6"" diameter (2)",0,0
"
2021-12-0413:33
",5,https://losangeles.craigslist.org/sfv/hsh/d/encino-wine-vino-serving-dish/7416523557.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1611:31
",65,https://losangeles.craigslist.org/lgb/hsh/d/orange-antique-elegant-crystal-plate/7421602373.html,,,,excellent,,,,,,,,,,0,0,"10"" wide / 7.5"" tall",0,0
"
2021-12-1914:45
",65,https://losangeles.craigslist.org/lgb/clt/d/orange-elegant-antique-crystal-pedestal/7422866488.html,,,,excellent,,,,,,,,,,0,0,"10"" wide / 7.5"" tall",0,0
"
2021-12-1906:18
",10,https://losangeles.craigslist.org/wst/hsh/d/el-segundo-holiday-mikasa-glass-serving/7422669294.html,,,,like new,,,,,,,,,,Mikasa,SA 838/313,15 x 15,0,0
"
2021-12-2017:50
",5,https://losangeles.craigslist.org/ant/for/d/valencia-white-plates-square-and-curved/7423339259.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1716:55
",10,https://losangeles.craigslist.org/sgv/hsh/d/west-covina-glass-platter/7422159976.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1707:31
",30,https://losangeles.craigslist.org/wst/hsh/d/olive-boats-and-dishes-or-serving-trays/7421896997.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1614:05
",25,https://losangeles.craigslist.org/wst/hsh/d/platter-serving-tray-with-olive-hand/7421675852.html,,,,new,,,,,,,,,,Cheryl Thompson - New In Box,0,"18"" x 9""",0,0
"
2021-11-1916:21
",20,https://losangeles.craigslist.org/sfv/clt/d/sherman-oaks-nabisco-tin/7410297057.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1117:14
",100,https://losangeles.craigslist.org/sfv/atq/d/studio-city-cracker-barrel-tea-bin/7419655620.html,,,,fair,,,,,,,,,,0,0,0,0,0
"
2021-11-2910:36
",12,https://losangeles.craigslist.org/sfv/hsh/d/castaic-cute-plush-bouncy-spring-11/7414155344.html,,,,excellent,,,,,,,,,,0,0,"9"" W x 8"" D x 11"" H",0,0
"
2021-12-0922:13
",5,https://losangeles.craigslist.org/sfv/hsh/d/castaic-night-before-christmas-set-by/7418856799.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-0922:02
",28,https://losangeles.craigslist.org/sfv/hsh/d/castaic-santa-popping-in-out-of-chimney/7418855429.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1818:37
",99,https://losangeles.craigslist.org/sfv/atq/d/castaic-antique-knowles-taylor-knowles/7422586253.html,,,,good,,,,,,,,,,K.T. & K.,0,0,0,0
"
2021-12-0510:46
",85,https://losangeles.craigslist.org/lac/atq/d/los-angeles-glass-domed-cheese-cracker/7416826598.html,delivery available,deli,,new,,,,,,,,,,United Silver and Cutlery Co.,0,0,0,0
"
2021-11-2818:23
",5,https://losangeles.craigslist.org/sfv/hsh/d/van-nuys-13-square-acrylic-cheese-and/7413894488.html,,,,excellent,,,,,,,,,,0,0,"13"" SQUARE",0,0
"
2021-11-2717:14
",12,https://losangeles.craigslist.org/sfv/for/d/castaic-avon-festive-holiday-lighted/7413488272.html,,,,new,,,,,,,,,,Avon,0,7” W x 2 ¼” D x 9 ½” H,0,0
"
2021-11-2919:41
",16,https://losangeles.craigslist.org/sfv/hsh/d/castaic-do-you-want-snowman-collection/7414393325.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1322:03
",49,https://losangeles.craigslist.org/sfv/hsh/d/castaic-vintage-light-up-ceramic-yule/7420527368.html,,,,like new,,,,,,,,,,0,0,17”L x 6”W x 7.25”H,0,0
"
2021-12-2010:27
",24,https://losangeles.craigslist.org/sfv/hsh/d/castaic-collection-of-vintage-ornaments/7423153226.html,,,,like new,,,,,,,,,,0,0,0,0,0
"
2021-12-1008:57
",100,https://losangeles.craigslist.org/lac/jwl/d/los-angeles-wholesale-lot-of-200-wish/7418999125.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-2014:18
",20,https://losangeles.craigslist.org/sgv/for/d/rosemead-christmas-collectibles-angels/7423267253.html,,,,excellent,,,,,,,,,,various,various,various,0,0
"
2021-12-1913:24
",75,https://losangeles.craigslist.org/wst/atq/d/santa-monica-cracker-barrel-green-glass/7422837340.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1511:26
",150,https://losangeles.craigslist.org/wst/tid/d/los-angeles-dolby-theatre-tickets-great/7421184418.html,,,,,,,,,,,,,,0,0,0,50,Dolby Theatre
"
2021-11-2511:43
",14,https://orangecounty.craigslist.org/for/d/el-toro-never-used-picnic-set-for-wine/7412610203.html,,,,new,,,,,,,,,,Picnic at Ascot,Item # 114,see details in posting,0,0
"
2021-12-0708:37
",110,https://orangecounty.craigslist.org/hsh/d/sunset-beach-wooden-salad-bowl-serving/7417646330.html,,,,new,,,,,,,,,,Studio Nova,0,0,0,0
"
2021-12-0818:52
",15,https://orangecounty.craigslist.org/clt/d/orange-bread-tray-wilton-armetale/7418378640.html,,,,excellent,,,,,,,,,,PEWTER BREAD / CRACKER TRAY,0,0,0,0
"
2021-12-2104:53
",15,https://orangecounty.craigslist.org/for/d/orange-bread-tray-by-wilton-armetale/7423426000.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-0804:29
",5,https://orangecounty.craigslist.org/for/d/santa-ana-hersheys-smores-caddy-box/7418001168.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-2208:10
",2,https://orangecounty.craigslist.org/hsh/d/tustin-daiso-japan-platters-trays/7423903572.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2618:11
",65,https://orangecounty.craigslist.org/hsh/d/orange-crystal-antique-pedestal-cake/7413085058.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1714:45
",65,https://orangecounty.craigslist.org/atq/d/orange-cake-stand-antique-pedestal/7422114035.html,,,,excellent,,,,,,,,,,"Antique ""Purple"" Glass",Pedestal Cake Stand,0,0,0
"
2021-12-0414:32
",65,https://orangecounty.craigslist.org/clt/d/orange-antique-pedestal-crystal-cake/7416549665.html,,,,excellent,,,,,,,,,,"Antique ""Purple"" Glass",Pedestal Cake Stand,0,0,0
"
2021-11-2714:33
",65,https://orangecounty.craigslist.org/hab/d/orange-vintage-crystal-plate-pedestal/7413433341.html,,,,excellent,,,,,,,,,,Wm A Rogers,Silver Plate Pedestal Cake Stand,0,0,0
"
2021-12-1223:02
",15,https://orangecounty.craigslist.org/hsh/d/irvine-soup-chili-mugs-new-in-box/7420087025.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-11-1922:19
",45,https://orangecounty.craigslist.org/hsh/d/newport-beach-sea-turtle-blue-melamine/7410377288.html,,,,new,,,,,,,,,,0,Coastal Design,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0511:13
",25,https://orangecounty.craigslist.org/art/d/westminster-brand-new-twin-inch-twin/7416839373.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-2308:17
",35,https://orangecounty.craigslist.org/tls/d/garden-grove-vintage-sears-craftsman/7424297564.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-10-2917:17
",25,https://orangecounty.craigslist.org/app/d/mission-viejo-brand-new-great-gift/7401046795.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2617:01
",45,https://orangecounty.craigslist.org/for/d/newport-beach-simply-smores-tray/7413066719.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2612:29
",0,https://orangecounty.craigslist.org/wan/d/la-habra-indoor-cats/7412962688.html,delivery available,deli,,,,,,,,,,,,0,0,0,0,0
"
2021-11-1215:49
",15,https://orangecounty.craigslist.org/for/d/el-toro-tins-vintage-storage-containers/7407207020.html,,,,good,,,,,,,,,,various,various,details in posting,0,0
"
2021-11-2820:00
",0,https://orangecounty.craigslist.org/clt/d/garden-grove-small-world-rhythm-12/7413918353.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-2616:05
",35,https://orangecounty.craigslist.org/art/d/yorba-linda-nutcracker/7413049567.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-10-2718:14
",0,https://orangecounty.craigslist.org/bks/d/san-clemente-kitchen-items-and-pot/7400148448.html,,,,good,,,,,,,,,,0,0,0,0,0
"
2021-11-1918:49
",0,https://orangecounty.craigslist.org/hsh/d/irvine-elegant-waterford-crystal/7410341390.html,,,,like new,,,,,,,,,,Waterford,0,0,0,0
"
2021-10-1210:03
",20,https://orangecounty.craigslist.org/hsh/d/costa-mesa-large-ceramic-serving-platter/7393118094.html,,,,like new,,,,,,,,,,0,0,0,0,0
"
2021-12-0814:40
",15,https://inlandempire.craigslist.org/art/d/orange-bread-tray-wilton-pewter-armetale/7418292788.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-0814:36
",15,https://inlandempire.craigslist.org/clt/d/orange-pewter-bread-cracker-tray-wilton/7418291194.html,,,,excellent,,,,,,,,,,WILTON ARMETALE,0,0,0,0
"
2021-12-0814:35
",0,https://inlandempire.craigslist.org/hsh/d/orange-wilton-pewter-armetale-bread-tray/7418290860.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2913:02
",50,https://inlandempire.craigslist.org/hsh/d/redlands-crockery-melamine-botanical/7414240424.html,model name / number,mode,,like new,,,,,,,,,,MELAMINE,0,"9"" (Dia)",0,0
"
2021-11-0806:56
",0,https://inlandempire.craigslist.org/atq/d/wildomar-vintage-kitchen-utensils/7405095147.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0109:14
",12,https://ventura.craigslist.org/hsh/d/simi-valley-glass-plate-with-bowls/7415035951.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:56
",25,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray-12/7416534098.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:53
",25,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray-11/7416532599.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:48
",25,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray-10/7416530675.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:39
",30,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416526312.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:19
",45,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416517188.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:15
",35,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416515122.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:11
",25,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416513143.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:06
",25,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416511033.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0413:02
",25,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416508795.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0412:56
",45,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416505637.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0412:50
",50,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416503060.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0412:36
",30,https://ventura.craigslist.org/hsh/d/ventura-whimsical-tiered-tray/7416496232.html,,,,like new,,,,,,,,,,0,0,0,0,0
"
2021-11-3012:53
",5,https://santabarbara.craigslist.org/hsh/d/santa-barbara-barnums-animal-crackers/7414703059.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-3012:51
",5,https://santabarbara.craigslist.org/hsh/d/santa-barbara-barnums-animal-crackers/7414702242.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-1907:36
",50,https://santabarbara.craigslist.org/hsh/d/santa-barbara-food-dehydrator-10-drying/7410025644.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-2314:50
",30,https://santabarbara.craigslist.org/for/d/santa-barbara-cheese-and-cracker-platter/7424462832.html,,,,new,,,,,,,,,,Woodbury,0,0,0,0
"
2021-12-0912:35
",15,https://santabarbara.craigslist.org/hsh/d/santa-barbara-great-walnut-mid-century/7418676610.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-2712:10
",225,https://santabarbara.craigslist.org/bks/d/santa-barbara-time-life-the-good-cook/7413368202.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0610:49
",75,https://palmsprings.craigslist.org/clt/d/indio-nutcrackers/7417263254.html,,,,like new,,,,,,,,,,Steinbach and Christian Ulbricht,varies,"16""",0,0
"
2021-12-0312:42
",220000,https://palmsprings.craigslist.org/bfd/d/desert-hot-springs-snyders-lance-chip/7416051053.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0312:36
",220000,https://palmsprings.craigslist.org/bfd/d/desert-hot-springs-snyders-lance-chip/7416047886.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1422:02
",10,https://bakersfield.craigslist.org/hsh/d/bakersfield-cheese-cutting-board/7420963341.html,,,,,,,,,,,,,,0,0,0,0,0
