DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,media type,make / manufacturer,model name / number,size / dimensions,bicycle frame material,bicycle type,frame size,wheel size,rv type,mobile OS
"
2021-12-1209:41
",10,https://losangeles.craigslist.org/sgv/emd/d/glendora-family-guy-pack/7419840929.html,,,,new,,,,,,,,,,dvd,0,0,0,0,0,0,0,0,0
"
2021-12-1011:58
",25,https://losangeles.craigslist.org/sfv/vgm/d/encino-15-in-family-pack-for-wii-or-wii/7419102307.html,,,,like new,,,,,,,,,,0,intec & Nintendo,0,0,0,0,0,0,0,0
"
2021-12-2121:39
",25,https://losangeles.craigslist.org/wst/tag/d/torrance-hatchimals-colleggtibles-pack/7423793108.html,,,,new,,,,,,,,,,0,Spin Master,0,0,0,0,0,0,0,0
"
2021-12-1909:57
",15,https://losangeles.craigslist.org/sfv/tag/d/burbank-harry-potter-500-piece-puzzle/7422751138.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2016:10
",20,https://losangeles.craigslist.org/lgb/for/d/east-irvine-gold-bars-cash-money-movie/7423309109.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1307:39
",0,https://losangeles.craigslist.org/lac/wad/d/los-angeles-cash-for-diabetic-test/7420180372.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0722:38
",350,https://losangeles.craigslist.org/lgb/clo/d/trabuco-canyon-chanel-high-quality/7417971037.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0720:59
",250,https://losangeles.craigslist.org/lgb/clo/d/trabuco-canyon-louis-vuitton-genuine/7417957595.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3014:32
",3,https://losangeles.craigslist.org/sfv/hab/d/reseda-hand-sanitizer-high-quality/7414751104.html,,,,new,,,,,,,,,,0,BallaPierre,Hand Sanitizer,16.9 Oz Pump Top,0,0,0,0,0,0
"
2021-12-1121:25
",250,https://losangeles.craigslist.org/sgv/spo/d/duarte-camping-equipment-everything-you/7419704209.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1013:26
",45,https://losangeles.craigslist.org/sfv/pho/d/van-nuys-modernnewhp-35-in-digital/7419146919.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1417:47
",1,https://losangeles.craigslist.org/wst/vgm/d/culver-city-vhs-movies/7420911414.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0814:38
",40,https://losangeles.craigslist.org/sfv/ele/d/chatsworth-sonoff-smart-wifi-switch/7418291917.html,,,,new,,,,,,,,,,0,Sonoff,WiFi Smart Switch,Basic 10Amp,0,0,0,0,0,0
"
2021-12-0509:55
",2399,https://losangeles.craigslist.org/lgb/bik/d/bellflower-new-folding-electric/7416802263.html,delivery available,deli,,,,,,,,,,,,0,0,0,0,aluminum,recumbent/trike,City  E-Trike,20 in,0,0
"
2021-12-1613:01
",0,https://losangeles.craigslist.org/sgv/grd/d/temecula-smartest-way-to-buy-beef-farm/7421646421.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0523:44
",3,https://losangeles.craigslist.org/sfv/tag/d/encino-big-toys-sale/7417054599.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2116:42
",90,https://losangeles.craigslist.org/sgv/for/d/temple-city-made-by-design-28-hardside/7423730473.html,,,,new,,,,,,,,,,0,Made By Design,0,0,0,0,0,0,0,0
"
2021-12-2114:36
",70,https://losangeles.craigslist.org/lac/for/d/los-angeles-igloo-reactor-portable-46/7423686063.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2110:53
",22500,https://losangeles.craigslist.org/sfv/rvs/d/canoga-park-best-deal-cherokee-wolf-pup/7423583976.html, cherokee wolf pup 16bhs, che,1,new,,,other,,,,other,,,0,0,0,0,0,0,0,0,travel trailer,0
"
2021-12-2109:07
",0,https://losangeles.craigslist.org/sgv/grd/d/temecula-crazy-to-pay-retail-beef-buy/7423527984.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2107:44
",25,https://losangeles.craigslist.org/lac/for/d/the-camouflage-mini-shot-belt-is-made/7423485360.html,,,,new,,,,,,,,,,0,Mini Shot Belt,Mini Shot Belt,0,0,0,0,0,0,0
"
2021-12-1117:00
",150,https://losangeles.craigslist.org/wst/ele/d/los-angeles-nintendo-nes-fake-nintendo/7419651763.html,cryptocurrency ok,cryp,,like new,,,,,,,,,,0,Nintendo,NES Classic,0,0,0,0,0,0,0
"
2021-12-0418:56
",8,https://losangeles.craigslist.org/wst/grd/d/topanga-monkey-flower-diplacus/7416629866.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2018:23
",1,https://losangeles.craigslist.org/sgv/for/d/monrovia-screen-printing-and-embroidery/7423348082.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2014:17
",20,https://losangeles.craigslist.org/wst/pho/d/torrance-dvd-set-of-movies-super-clean/7423266879.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2716:16
",5,https://losangeles.craigslist.org/wst/tag/d/lomita-new-carpet-markers-face-emotions/7413471159.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2013:00
",71995,https://bakersfield.craigslist.org/ctd/d/fontana-2019-ford-450-f450-xl-standard/7423231560.html,2019 Ford F-450SD,2019,28239,,,rwd,diesel,white,,clean,automatic,,1FDUF4GT9KEF86061,0,0,0,0,0,0,0,0,0,0
"
2021-12-2008:50
",384,https://losangeles.craigslist.org/lac/ctd/d/norco-2015-toyota-tundra-4wd-truck-4x4/7423099883.html,2015 Toyota Tundra 4WD Truck LTD,2015,129924,,8 cylinders,4wd,gas,,,clean,automatic,pickup,5TFHW5F13FX486463,0,0,0,0,0,0,0,0,0,0
"
2021-12-2007:38
",145,https://losangeles.craigslist.org/sfv/fuo/d/sherman-oaks-new-tier-console-table/7423062350.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2021:10
",6,https://losangeles.craigslist.org/lgb/grd/d/norwalk-quail-quail-eggs/7410796546.html,delivery available,deli,,new,,,,,,,,,,0,Quail,Japanese Coturnix,0,0,0,0,0,0,0
"
2021-12-1300:10
",92877,https://losangeles.craigslist.org/ant/ctd/d/tempe-2020-gmc-sierra-2500hd-lifted-66l/7420092110.html, GMC Sierra 2500HD, GMC,11406,,8 cylinders,4wd,diesel,white,,,automatic,pickup,1GT49PEY5LF341040,0,0,0,0,0,0,0,0,0,0
"
2021-12-0100:10
",91877,https://losangeles.craigslist.org/ant/ctd/d/tempe-2021-gmc-sierra-2500hd-lifted-at4/7414892546.html, GMC Sierra 2500HD, GMC,22360,,8 cylinders,4wd,diesel,white,,,automatic,pickup,1GT49PEY5MF148615,0,0,0,0,0,0,0,0,0,0
"
2021-12-1921:06
",10000,https://losangeles.craigslist.org/lgb/cto/d/whittier-2012-chevy-sonic-lt-turbo-6spd/7422958771.html,2012 chevrolet sonic lt,2012,95500,excellent,4 cylinders,fwd,gas,white,compact,clean,manual,sedan,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1821:08
",150,https://losangeles.craigslist.org/sfv/msg/d/north-hollywood-seagull-m4-spruce-eq/7422611908.html,,,,new,,,,,,,,,,0,Seagull,M4 Spruce EQ,0,0,0,0,0,0,0
"
2021-12-0502:15
",1000,https://losangeles.craigslist.org/wst/art/d/los-angeles-large-70s-vintage-eddie/7416677045.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2019:19
",600,https://losangeles.craigslist.org/sfv/app/d/granada-hills-new-newair-can-beverage/7410778195.html,,,,new,,,,,,,,,,0,Newair,ABR-1770 Â ,0,0,0,0,0,0,0
"
2021-12-0323:35
",12999,https://losangeles.craigslist.org/lac/ctd/d/inglewood-2016-dodge-journey-sxt-suv/7416244886.html,2016 Dodge Journey SXT,2016,122174,good,6 cylinders,fwd,other,black,,clean,automatic,other,3C4PDCBG5GT145675,0,0,0,0,0,0,0,0,0,0
"
2021-12-0109:48
",15950,https://losangeles.craigslist.org/lgb/sgd/d/carlsbad-electric-passenger-electric/7415055503.html,,,,like new,,,,,,,,,,0,357 Golf Carts,TOURING EDITION,0,0,0,0,0,0,0
"
2021-12-1009:48
",10025,https://losangeles.craigslist.org/lgb/snd/d/carlsbad-passenger-48-volt-electric/7419029213.html,,,,like new,,,,,,,,,,0,357 GOLF CARTS,Sport Edition,0,0,0,0,0,0,0
"
2021-11-2711:10
",0,https://losangeles.craigslist.org/wst/ctd/d/los-angeles-certified-2021-ford/7413336479.html,2021 Ford Expedition XLT,2021,11059,like new,,4wd,gas,grey,full-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1500:10
",86977,https://losangeles.craigslist.org/ant/ctd/d/tempe-2020-chevrolet-silverado-3500hd/7420975079.html, Chevrolet Silverado 3500HD, Che,21242,,8 cylinders,4wd,diesel,grey,,,automatic,pickup,1GC4YUEY7LF153217,0,0,0,0,0,0,0,0,0,0
"
2021-11-2613:33
",26515,https://losangeles.craigslist.org/lgb/ctd/d/cerritos-2015-honda-odyssey-touring/7412991447.html,2015 Honda Odyssey,2015,53523,,6 cylinders,fwd,gas,blue,,clean,automatic,van,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2603:43
",16995,https://losangeles.craigslist.org/wst/mcd/d/chatsworth-2021-ducati-multistrada-950/7412746209.html,2021 Ducati Multistrada 950 S Spoked,2021,427,,,,,custom,,clean,manual,,ZDMAAEDT7MB002247,0,0,0,0,0,0,0,0,0,0
"
2021-12-0323:23
",15999,https://losangeles.craigslist.org/lac/ctd/d/inglewood-2016-dodge-journey-se-suv/7416243671.html,2016 Dodge Journey SE,2016,54002,good,4 cylinders,fwd,gas,white,,clean,automatic,other,3C4PDCAB0GT171879,0,0,0,0,0,0,0,0,0,0
"
2021-12-0714:59
",2499,https://losangeles.craigslist.org/wst/fod/d/chouteau-jlg-12sp-vertical-lift-bil-jax/7417850996.html,delivery available,deli,,good,,,,,,,,,,0,JLG,12SP,0,0,0,0,0,0,0
"
2021-12-0414:15
",79995,https://losangeles.craigslist.org/sgv/ctd/d/fontana-2019-ford-550-f550-xl-standard/7416542611.html,2019 Ford F-550SD,2019,9283,,,4wd,gas,black,,clean,automatic,,1FDUF5HYXKEF90491,0,0,0,0,0,0,0,0,0,0
"
2021-12-0311:31
",0,https://losangeles.craigslist.org/sgv/ctd/d/fontana-2019-ford-150-f150-raptor/7416011361.html,2019 Ford F-150,2019,20228,,,4wd,gas,,,clean,automatic,,1FTFW1RG0KFB44548,0,0,0,0,0,0,0,0,0,0
"
2021-12-1012:52
",10,https://losangeles.craigslist.org/sfv/hsh/d/santa-clarita-wholesale-wet-dryer/7419130194.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0616:26
",1000,https://losangeles.craigslist.org/wst/fuo/d/santa-monica-lovesac-sactional-couch/7417429853.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1401:22
",75,https://losangeles.craigslist.org/wst/bab/d/beverly-hills-moving-sale-4moms/7420543462.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1117:56
",1,https://losangeles.craigslist.org/lgb/for/d/long-beach-birthday-celebration/7419666199.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2420:28
",25000,https://losangeles.craigslist.org/lac/wad/d/los-angeles-wanted-new-in-box-used/7412444600.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1301:01
",20,https://losangeles.craigslist.org/lac/for/d/los-angeles-canon-zr600/7420095198.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0117:29
",450,https://losangeles.craigslist.org/lgb/clt/d/long-beach-box-cars-train-collection-85/7415272794.html,,,,good,,,,,,,,,,0,Various,Various,0,0,0,0,0,0,0
"
2021-11-2721:00
",0,https://losangeles.craigslist.org/lac/ctd/d/maywood-2012-toyota-tundra-limited-se/7413536181.html,2012 Toyota Tundra Limited,2012,86587,,other,,gas,,,clean,automatic,,5TFFY5F15CX131677,0,0,0,0,0,0,0,0,0,0
"
2021-11-2711:11
",0,https://losangeles.craigslist.org/wst/ctd/d/los-angeles-2017-ford-150-raptor-with/7413337298.html,2017 Ford F-150 Raptor,2017,35409,excellent,,4wd,gas,silver,full-size,clean,automatic,pickup,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1008:48
",22995,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2016-toyota-rav4-limited-awd/7418994385.html,2016 Toyota RAV4 Hybrid,2016,101393,,4 cylinders,4wd,hybrid,silver,mid-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2316:38
",19552,https://losangeles.craigslist.org/wst/ctd/d/culver-city-2014-honda-accord-sedan-lx/7411996761.html,2014 Honda Accord LX,2014,52973,excellent,4 cylinders,fwd,gas,silver,full-size,clean,automatic,sedan,1HGCR2F30EA178221,0,0,0,0,0,0,0,0,0,0
"
2021-11-2617:07
",25000,https://losangeles.craigslist.org/wst/wad/d/gardena-we-buy-arista-cisco-juniper/7413068411.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2617:08
",15000,https://losangeles.craigslist.org/lac/wad/d/los-angeles-wtb-cisco-ncs2k-100g-ck/7413068724.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0719:45
",55000,https://losangeles.craigslist.org/lac/wad/d/los-angeles-wanted-intel-xeon-computer/7417943076.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0621:53
",25000,https://losangeles.craigslist.org/lac/wad/d/los-angeles-we-buy-cisco-asr1001/7417511958.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0113:37
",70,https://orangecounty.craigslist.org/sop/d/orange-microsoft-windows-home-upgrade/7415180711.html,,,,like new,,,,,,,,,,0,Microsoft,Windows 7 Home Premium,0,0,0,0,0,0,0
"
2021-12-0720:53
",250,https://orangecounty.craigslist.org/clo/d/trabuco-canyon-louis-vuitton-italy/7417956626.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2209:48
",25,https://orangecounty.craigslist.org/tag/d/anaheim-tar-wars-force-link-pack-han/7423954338.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0420:26
",100,https://orangecounty.craigslist.org/bab/d/garden-grove-baby-stroller-car-seat/7416646553.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1815:35
",20,https://orangecounty.craigslist.org/tag/d/mission-viejo-mcfarlane-toys-game-of/7422538541.html,,,,new,,,,,,,,,,0,McFarlane Toys,Game of Thrones,0,0,0,0,0,0,0
"
2021-12-1815:33
",20,https://orangecounty.craigslist.org/tag/d/mission-viejo-mcfarlane-toys-game-of/7422537855.html,,,,new,,,,,,,,,,0,McFarlane Toys,Game of Thrones,0,0,0,0,0,0,0
"
2021-11-2911:20
",39,https://orangecounty.craigslist.org/mob/d/anaheim-apple-airtag-one-pack/7414181953.html,,,,new,,,,,,,,,,0,Apple,0,0,0,0,0,0,0,apple iOS
"
2021-12-1312:22
",100,https://orangecounty.craigslist.org/tag/d/east-irvine-mib-new-bright-1580tp/7420339156.html,,,,new,,,,,,,,,,0,New Bright,1580TP,0,0,0,0,0,0,0
"
2021-12-2010:20
",10,https://orangecounty.craigslist.org/hab/d/anaheim-kendall-kylie-hand-sanitizing/7423149732.html,,,,new,,,,,,,,,,0,KENDALL + KYLIE,0,0,0,0,0,0,0,0
"
2021-12-2011:18
",10,https://orangecounty.craigslist.org/hab/d/anaheim-kendall-and-kylie-antibacterial/7423180847.html,,,,new,,,,,,,,,,0,KENDALL + KYLIE,0,0,0,0,0,0,0,0
"
2021-11-2617:43
",10,https://orangecounty.craigslist.org/for/d/east-irvine-prop-cash-money-movie-prop/7413077925.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3011:33
",100,https://orangecounty.craigslist.org/bab/d/aliso-viejo-4moms-breeze-go-playards/7414659885.html,,,,,,,,,,,,,,0,4moms,Breeze go,0,0,0,0,0,0,0
"
2021-11-2107:06
",1,https://inlandempire.craigslist.org/spo/d/lake-elsinore-new-peleton-plus-bike/7410876041.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2204:45
",350,https://inlandempire.craigslist.org/grd/d/nuevo-beautiful-peacocks-family-pack/7423831495.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1410:50
",10,https://inlandempire.craigslist.org/art/d/rancho-cucamonga-halloween-pumpkin-pop/7420731520.html,,,,new,,,,,,,,,,0,0,0,15cm x 10cm / 5.9in x 4in,0,0,0,0,0,0
"
2021-12-0315:30
",1600,https://inlandempire.craigslist.org/for/d/sugarloaf-mad-river-canoe-explorer-16/7416130301.html,,,,like new,,,,,,,,,,0,Mad River Canoe Company,0,"16' x 36""",0,0,0,0,0,0
"
2021-12-1201:46
",270,https://ventura.craigslist.org/spo/d/ventura-core-10-person-lighted-instant/7419725314.html,delivery available,deli,,new,,,,,,,,,,0,CORE,0,14ft L x 10 ft W x 6.5 ft H,0,0,0,0,0,0
"
2021-12-0412:39
",175,https://santabarbara.craigslist.org/tag/d/santa-barbara-wonder-workshop-dash-dot/7416497856.html,,,,like new,,,,,,,,,,0,Dash and Dot,0,0,0,0,0,0,0,0
