DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,engine hours (total),length overall (LOA),propulsion type,year manufactured,size / dimensions,bicycle frame material,bicycle type,brake type,electric assist,frame size,handlebar type,suspension,wheel size,engine displacement (CC),media type
"
2021-12-1811:21
",20,https://losangeles.craigslist.org/lgb/bks/d/long-beach-elvis-presley-the-man-the/7422431757.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1023:35
",2500,https://losangeles.craigslist.org/sgv/snw/d/la-canada-flintridge-legend-race-car/7419309537.html,,,,excellent,,,,,,,,,,Legend,race car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1114:21
",20,https://losangeles.craigslist.org/sgv/ele/d/pasadena-vapes-for-sale-artery-nugget/7419598062.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:14
",52500,https://losangeles.craigslist.org/wst/boa/d/marina-del-rey-40-hunter-legend-two/7424353924.html,,,,good,,,,,,,,,,Hunter,Legend,1000,40,sail,1986,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1408:46
",500,https://losangeles.craigslist.org/lac/hab/d/beverly-hills-legend-knee-brace-donjoy/7420662144.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2303:58
",4500,https://losangeles.craigslist.org/lgb/pts/d/las-vegas-new-legend-lgt-speed-racing/7424219492.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2223:34
",30,https://losangeles.craigslist.org/lgb/for/d/long-beach-merrell-world-rambler-and/7424200018.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0513:33
",250,https://losangeles.craigslist.org/sgv/wto/d/montebello-set-of-four-acura-legend-15/7416903864.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2611:27
",45,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-the-legend-of-zelda-breath/7412932319.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2214:10
",250,https://losangeles.craigslist.org/lac/msg/d/los-angeles-spector-legend-performer/7424074530.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0316:00
",29,https://losangeles.craigslist.org/wst/vgm/d/los-angeles-legend-of-zelda-breath-of/7416142579.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0711:48
",1500,https://losangeles.craigslist.org/ant/hsh/d/lancaster-bamboo-flooring/7417757030.html,,,,new,,,,,,,,,,Home Legend,RN 104577,0,0,0,0,"5/8"" x 3 3/4"" x 37 3/4""",0,0,0,0,0,0,0,0,0,0
"
2021-12-1619:58
",750,https://losangeles.craigslist.org/sgv/msg/d/sierra-madre-ovation-legend-mint/7421784682.html,,,,like new,,,,,,,,,,Ovation,1867 shallow bowl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2007:22
",900,https://losangeles.craigslist.org/lgb/for/d/scooter-pride-legend-wheel-power-300lbs/7423054546.html,,,,excellent,,,,,,,,,,Pride,Legend 3 Wheel,0,0,0,0,300 lbs capacity,0,0,0,0,0,0,0,0,0,0
"
2021-12-2206:48
",125,https://losangeles.craigslist.org/sfv/bks/d/woodland-hills-bosendorfer-living-legend/7423866483.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2707:18
",785,https://losangeles.craigslist.org/wst/clt/d/los-angeles-kareem-abdul-jabbar-signed/7413210601.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2204:23
",250,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-spector-legend-bass-string-mik/7423827848.html,,,,excellent,,,,,,,,,,Spector,Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1917:33
",95,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-eminence-1028k-10-35w-legend/7422915848.html,,,,new,,,,,,,,,,eminence,legend 1028k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0411:08
",100,https://losangeles.craigslist.org/lac/spo/d/los-angeles-nidecker-legend-164cm/7416448948.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2113:27
",45,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-new-switch-joy-con-the/7423657536.html,,,,new,,,,,,,,,,NINTENDO,HAC A JAUAE USZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2110:49
",400,https://losangeles.craigslist.org/sfv/msg/d/sherman-oaks-spector-legend-classic-bass/7423581616.html,,,,good,,,,,,,,,,Spector,Legend 5 Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1210:30
",300,https://losangeles.craigslist.org/sfv/clt/d/burbank-usc-legend-anthony-davis-signed/7419863726.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0513:49
",300,https://losangeles.craigslist.org/wst/fuo/d/torrance-tv-stand-entertainment-center/7416910017.html,,,,good,,,,,,,,,,Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0721:10
",20,https://losangeles.craigslist.org/wst/pts/d/carson-will-ship-acura-legend-integra/7417959550.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2000:18
",140,https://losangeles.craigslist.org/sgv/wto/d/alhambra-set-of-acura-legend-coupe-x6/7422977720.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3019:21
",175,https://losangeles.craigslist.org/sfv/bik/d/tujunga-24-mongoose-mountain-bike/7414850294.html,,,,like new,,,,,,,,,,Mongoose,Legend,0,0,0,0,0,steel,mountain,cantilever,none,Medium,flat,frame and fork (full suspension),24 in,0,0
"
2021-12-0909:30
",1,https://losangeles.craigslist.org/sgv/pts/d/la-canada-flintridge-1995-acura-legend/7418574663.html,,,,,,,,,,,,,,Acura,Legend coupe LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1910:01
",100,https://losangeles.craigslist.org/lac/app/d/los-angeles-vintage-kirby-heritage-ll/7422752992.html,,,,excellent,,,,,,,,,,Kirby,Heritage ll Legend,0,0,0,0,"16""w x 43""h x 13""d",0,0,0,0,0,0,0,0,0,0
"
2021-11-2709:08
",20,https://losangeles.craigslist.org/lgb/ele/d/lakewood-new-brady-porta-pack-wire/7413266749.html,size / dimensions,size,,new,,,,,,,,,,brady,PWM-PK-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1823:56
",75,https://losangeles.craigslist.org/lgb/pts/d/south-pasadena-acura-legend-v6-engine/7422627650.html,,,,excellent,,,,,,,,,,Acura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1817:44
",1500,https://losangeles.craigslist.org/sfv/art/d/north-hollywood-signed-animation-art/7422574445.html,,,,good,,,,,,,,,,0,0,0,0,0,0,24 x 21,0,0,0,0,0,0,0,0,0,0
"
2021-12-1213:46
",39,https://losangeles.craigslist.org/sfv/vgm/d/calabasas-nintendo-switch-the-legend-of/7419949867.html,,,,new,,,,,,,,,,Nintendo,Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-1908:21
",25,https://losangeles.craigslist.org/lac/tag/d/los-angeles-legend-of-the-dark-knight/7410050948.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-1719:38
",80,https://losangeles.craigslist.org/sfv/vgm/d/glendale-nintendo-game-watch-the-legend/7409458120.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1711:19
",400,https://losangeles.craigslist.org/lgb/clt/d/long-beach-batman-1989-keaton-nicholson/7422019151.html,,,,,,,,,,,,,,Batman,0,0,0,0,0,"29"" x 32""",0,0,0,0,0,0,0,0,0,0
"
2021-11-2713:52
",3600,https://losangeles.craigslist.org/lac/art/d/bill-mack-marilyn-monroe-legend-obo/7413415851.html,,,,good,,,,,,,,,,Bill Mack,Marilyn Monroe Legend 11/195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1118:06
",2000,https://losangeles.craigslist.org/lac/msg/d/los-angeles-vintage-ovation-1719-custom/7419668643.html,,,,excellent,,,,,,,,,,Ovation,Custom Legend 1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0218:56
",10,https://losangeles.craigslist.org/wst/for/d/venice-queens-freddie-mercury-rock-icon/7415746465.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1610:54
",275,https://losangeles.craigslist.org/sfv/pts/d/simi-valley-truck-shell/7421583223.html,,,,good,,,,,,,,,,American Truck Outfitters,Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1211:05
",1600,https://losangeles.craigslist.org/sfv/cto/d/chatsworth-1989-acura-legend-no-dents/7419879963.html,1989 acura legend,1989,175000,good,6 cylinders,fwd,gas,blue,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0308:54
",2000,https://losangeles.craigslist.org/sgv/cto/d/la-canada-flintridge-acura-legend/7415916057.html,1995 acura legend LS,1995,134789,fair,6 cylinders,fwd,gas,black,,clean,automatic,coupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0218:39
",8000,https://losangeles.craigslist.org/wst/mcy/d/gardena-american-iron-horse-legend/7415742037.html,street legal,stre,2000,excellent,,,gas,purple,,clean,manual,chopper,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0
"
2021-12-1313:43
",1400,https://losangeles.craigslist.org/lgb/sys/d/pico-rivera-intel-core-k-gaming-editing/7420378323.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2315:25
",39,https://losangeles.craigslist.org/sfv/clt/d/canyon-country-arnold-palmer-signed/7424473929.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1308:10
",2500,https://losangeles.craigslist.org/lac/ele/d/riverside-arcade-custom-built-machine/7420196704.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0110:57
",1500,https://losangeles.craigslist.org/lac/vgm/d/riverside-tabletop-arcade-machine-games/7415095544.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1609:38
",2500,https://losangeles.craigslist.org/lac/tag/d/riverside-arcade-custom-built-games/7421542175.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1609:37
",1300,https://losangeles.craigslist.org/lac/tag/d/riverside-arcade-machine-games-tabletop/7421542016.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1609:37
",1100,https://losangeles.craigslist.org/lac/tag/d/riverside-arcade-tabletop-frogger-games/7421541918.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0409:56
",180,https://losangeles.craigslist.org/sfv/clt/d/woodland-hills-bicentennial-wall-rug-by/7416407346.html,,,,new,,,,,,,,,,0,0,0,0,0,0,36 inch x 56 inch,0,0,0,0,0,0,0,0,0,0
"
2021-12-1414:58
",35,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-eminence-mojo-rr-8-guitar/7420851967.html,,,,excellent,,,,,,,,,,MOJO,mrr10,0,0,0,0,"10""",0,0,0,0,0,0,0,0,0,0
"
2021-12-2311:51
",2750,https://losangeles.craigslist.org/ant/for/d/lancaster-brand-new-pool-lift-for-sale/7424396456.html,,,,new,,,,,,,,,,Global lift corp,L325NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2311:15
",799,https://losangeles.craigslist.org/lac/ptd/d/sacramento-lexus-is250-automatic/7424381685.html,,,,excellent,,,,,,,,,,LEXUS,IS 250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2009:32
",100,https://losangeles.craigslist.org/ant/clt/d/lancaster-signed-terry-bradshaw-mini/7423123354.html,,,,like new,,,,,,,,,,Riddel,nfl mini helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2311:04
",795,https://losangeles.craigslist.org/lgb/ptd/d/buena-park-jdm-honda-crv-20l-non-vtec/7424376667.html,delivery available,deli,,excellent,,,,,,,,,,HONDA,B20 B20B B20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:55
",20,https://losangeles.craigslist.org/sfv/tag/d/burbank-transformers-prime-cyberverse/7424372810.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:58
",895,https://losangeles.craigslist.org/wst/ptd/d/los-angeles-subaru-legacy-gt-forester/7424374119.html,,,,excellent,,,,,,,,,,SUBARU,EJ20X EJ255 EJ20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:57
",795,https://losangeles.craigslist.org/sfv/ptd/d/buena-park-jdm-honda-civic-18l-r18a-r18/7424373578.html,delivery available,deli,,excellent,,,,,,,,,,HONDA,R18 R18A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:52
",695,https://losangeles.craigslist.org/wst/ptd/d/los-angeles-jdm-honda-civic-si-acura/7424371320.html,,,,excellent,,,,,,,,,,Honda,K20A K20 K20A1 K20A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1510:02
",40,https://losangeles.craigslist.org/wst/art/d/lomita-winslow-homer-breezing-up/7421139310.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1712:20
",125,https://losangeles.craigslist.org/wst/app/d/los-angeles-white-stove-range-jim/7422050013.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1712:13
",95,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-jim-morrison-home-corner/7422046325.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1712:12
",50,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-jim-morrison-home-spanish/7422046169.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1711:47
",20,https://losangeles.craigslist.org/wst/hsh/d/west-hollywood-lamps-floor-table/7422033058.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:45
",999,https://losangeles.craigslist.org/lac/ptd/d/riverside-jdm-accord-engine-install/7424368471.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:43
",1999,https://losangeles.craigslist.org/lac/ptd/d/riverside-jdm-camry-engine-highlander/7424367439.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:45
",1199,https://losangeles.craigslist.org/sgv/ptd/d/riverside-jdm-accord-engine-element/7424368091.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:43
",1199,https://losangeles.craigslist.org/lac/ptd/d/riverside-civic-engine-install-jdm/7424367631.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:43
",1295,https://losangeles.craigslist.org/lac/ptd/d/riverside-corolla-matrix-celica-mr2/7424367234.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:41
",999,https://losangeles.craigslist.org/lac/ptd/d/riverside-accord-engine-f23a-motor-j30a/7424366638.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:41
",1195,https://losangeles.craigslist.org/sgv/ptd/d/riverside-jdm-accord-engine-element/7424366507.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:39
",1499,https://losangeles.craigslist.org/lac/ptd/d/riverside-civic-engine-jdm-d17a-motor/7424365716.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:40
",1199,https://losangeles.craigslist.org/lac/ptd/d/riverside-civic-engine-jdm-motor/7424366001.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:38
",1499,https://losangeles.craigslist.org/lac/ptd/d/riverside-civic-engine-18-r18a-motor/7424365086.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:36
",1099,https://losangeles.craigslist.org/lac/ptd/d/riverside-altima-engine-25-motor/7424364186.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:29
",10,https://losangeles.craigslist.org/sfv/clt/d/mike-piazza-ramon-martinez/7424360827.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1618:07
",25,https://losangeles.craigslist.org/sgv/clt/d/glendora-racing-homing-pigeon-vhs-tapes/7421759570.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3020:11
",35,https://losangeles.craigslist.org/lac/art/d/los-angeles-hylas-and-the-nymphs-nude/7414861503.html,,,,,,,,,,,,,,0,0,0,0,0,0,"8"" x 10""",0,0,0,0,0,0,0,0,0,0
"
2021-12-2309:15
",0,https://losangeles.craigslist.org/lgb/ptd/d/hyundai-elantra-new-light-fender-hood/7424325488.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1909:03
",77,https://losangeles.craigslist.org/wst/pho/d/los-angeles-rent-nowlightsgrip/7422728383.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1818:27
",625,https://losangeles.craigslist.org/sfv/msg/d/encino-epiphone-sheraton-ii-pro/7422584070.html,,,,excellent,,,,,,,,,,Epiphone,Sheraton II Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2308:14
",28,https://losangeles.craigslist.org/sfv/bks/d/encino-seabiscuit/7424296307.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2307:19
",0,https://losangeles.craigslist.org/sfv/emd/d/valencia-new-disney-dvds-see-details-10/7424272258.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dvd
"
2021-12-2222:18
",70,https://losangeles.craigslist.org/sfv/wtd/d/michelin-ltx-good-used-tires-van-nuys70/7424192903.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2222:16
",80,https://losangeles.craigslist.org/sfv/wtd/d/crosswind-all-terrain-good-used-tires/7424192704.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2222:13
",60,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-assurance-good-used-tires-van/7424192426.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2221:50
",160,https://losangeles.craigslist.org/sfv/wtd/d/toyo-open-country-a30-good-used-tires/7424189474.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2221:19
",150,https://losangeles.craigslist.org/sfv/wtd/d/michelin-latitude-tour-hp-good-used/7424185443.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1609:09
",70,https://losangeles.craigslist.org/sgv/clt/d/whittier-bettie-page-lp-original-1950s/7421526425.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2220:24
",150,https://losangeles.craigslist.org/sfv/wtd/d/bridgestone-dueler-hl-good-used-tires/7424177607.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2220:22
",80,https://losangeles.craigslist.org/sfv/wtd/d/pirelli-cinturato-p7-run-flat-good-used/7424177271.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1314:53
",500,https://losangeles.craigslist.org/wst/bks/d/los-angeles-futura-2000-book-ben-dury/7420410477.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0507:46
",15,https://losangeles.craigslist.org/sfv/jwl/d/santa-clarita-hawaiian-fish-hook-good/7416743663.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:56
",150,https://losangeles.craigslist.org/sfv/wtd/d/cooper-good-used-tires-van-nuys150-set/7424160976.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:21
",150,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-wrangler-hl-good-used-tires/7424153768.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:19
",80,https://losangeles.craigslist.org/sfv/wtd/d/michelin-latitude-tour-hp-good-used/7424153339.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1817:01
",50,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-eminence-mojo-rr-8-guitar/7422564069.html,,,,excellent,,,,,,,,,,MOJO,mrr10,0,0,0,0,"10""",0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:16
",100,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-eagle-sport-run-flat-good-used/7424152395.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:13
",100,https://losangeles.craigslist.org/sfv/wtd/d/lt-bfg-all-terrain-ko-good-used-tires/7424151809.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:05
",10595,https://losangeles.craigslist.org/lac/trb/d/flagstaff-delco-72x12-dump-trailer-gvwr/7424149909.html,,,,new,,,,black,,,,,,Delco,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:04
",200,https://losangeles.craigslist.org/sfv/wtd/d/lt-nitto-at-terra-grappler-g2-good-used/7424149774.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2217:37
",200,https://losangeles.craigslist.org/sfv/wtd/d/lt-firestone-transforce-t-good-used/7424142555.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2217:35
",80,https://losangeles.craigslist.org/sfv/wtd/d/dunlop-gran-trek-good-used-tires-van/7424142037.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2216:43
",2000,https://losangeles.craigslist.org/wst/spo/d/winnetka-100-hap-jacobs-custom/7424127280.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0514:07
",5,https://losangeles.craigslist.org/lgb/emd/d/long-beach-blu-ray-movies-for-sale-each/7416917678.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blu-ray
"
2021-11-2607:34
",20,https://losangeles.craigslist.org/lgb/for/d/orange-ringo-his-all-starr-band-tour/7412809016.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2710:59
",20,https://losangeles.craigslist.org/lgb/clo/d/orange-ringo-his-all-starr-band-tour/7413330070.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1811:10
",900,https://losangeles.craigslist.org/sfv/bik/d/burbank-2017-norco-torrent-fs-a71-mtb/7422426572.html,,,,good,,,,,,,,,,Norco,TORRENT FS+ A7.1,0,0,0,0,0,aluminum,mountain,disc (hydraulic),none,XL,riser,frame and fork (full suspension),27.5 in,0,0
"
2021-12-2214:26
",0,https://losangeles.craigslist.org/sfv/bab/d/valencia-dvds-disney-animated-non/7424081074.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2212:08
",15,https://losangeles.craigslist.org/sfv/clt/d/glendale-ceramic-collectors-plates/7424022811.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0213:34
",1800,https://losangeles.craigslist.org/lgb/wto/d/south-gate-centerline-ford-lightning/7415628030.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2809:39
",580,https://losangeles.craigslist.org/sfv/wto/d/norwalk-19-hyundai-santa-fe-wheels-rims/7413682184.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:00
",1995,https://losangeles.craigslist.org/lac/ptd/d/signal-hill-jdm-toyota-5vz-fe-engine/7423990502.html,,,,good,,,,,,,,,,Toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:00
",645,https://losangeles.craigslist.org/lac/ptd/d/signal-hill-jdm-nissan-altima-25l-qr25/7423990142.html,,,,good,,,,,,,,,,Nissan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
