DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number,media type,bicycle frame material,bicycle type,frame size,wheel size,mobile OS
"
2021-12-2311:01
",5,https://losangeles.craigslist.org/wst/clt/d/torrance-mcdonalds-animal-pals-panda/7424375598.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1910:16
",30,https://losangeles.craigslist.org/wst/tag/d/lomita-giant-panda-with-cub-plush-new/7422759268.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2309:15
",35000,https://losangeles.craigslist.org/lac/jwl/d/los-angeles-vintage-rolex-zenith/7424325482.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2222:00
",150,https://losangeles.craigslist.org/lac/app/d/los-angeles-panda-washer/7424190773.html,,,,excellent,,,,,,,,,,Panda,0,0,0,0,0,0,0,0
"
2021-12-1013:39
",10,https://losangeles.craigslist.org/lac/for/d/los-angeles-plush-toy-panda-bamboo/7419153449.html,,,,,,,,,,,,,,0,"16""H",0,0,0,0,0,0,0
"
2021-12-2219:29
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-panda-film-55-mil-black/7424168136.html,,,,new,,,,,,,,,,247garden,Different Sizes,Panda Film 5.5 Mil,0,0,0,0,0,0
"
2021-12-0306:06
",15,https://losangeles.craigslist.org/sfv/app/d/winnetka-lamp-shade-panda-bear/7415840313.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2212:52
",13,https://losangeles.craigslist.org/lac/vgm/d/glendale-kung-fu-panda-xbox-360/7424042101.html,,,,like new,,,,,,,,,,Microsoft,0,XBOX 360,0,0,0,0,0,0
"
2021-12-1819:49
",450,https://losangeles.craigslist.org/lgb/for/d/hemet-german-shepherd-panda/7422599521.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2408:26
",16,https://losangeles.craigslist.org/sfv/atq/d/castaic-vintage-tin-drumming-panda-toy/7412186559.html,,,,excellent,,,,,,,,,,Clockwork,"5"" x 2"" x 5""",MS 565,0,0,0,0,0,0
"
2021-12-1710:35
",2,https://losangeles.craigslist.org/sfv/tag/d/woodland-hills-new-plush-panda-bear-by/7421995778.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2208:56
",150,https://losangeles.craigslist.org/wst/msg/d/venice-red-panda-bitmap/7423927323.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2023:59
",275,https://losangeles.craigslist.org/lac/msg/d/los-angeles-red-panda-particle-v2/7423399404.html,delivery available,deli,,excellent,,,,,,,,,,Red Panda,5 x 7 x 7,0,0,0,0,0,0,0
"
2021-11-2715:05
",5,https://losangeles.craigslist.org/wst/tag/d/torrance-new-undercover-squishables/7413445661.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2919:42
",10,https://losangeles.craigslist.org/wst/tag/d/torrance-build-bear-stuffed-animals/7414393446.html,,,,,,,,,,,,,,Build-A-Bear,0,0,0,0,0,0,0,0
"
2021-12-1912:23
",25,https://losangeles.craigslist.org/sfv/emd/d/burbank-rare-new-sealed-kung-fu-panda/7422813179.html,,,,new,,,,,,,,,,0,0,0,blu-ray,0,0,0,0,0
"
2021-12-1909:23
",450,https://losangeles.craigslist.org/wst/spo/d/venice-59-panda-sweer-leaf/7422736881.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1808:33
",190,https://losangeles.craigslist.org/wst/clo/d/los-angeles-shipping-only-nike-dunk-low/7422342167.html,,,,,,,,,,,,,,0,0,9107037517,0,0,0,0,0,0
"
2021-12-1501:52
",300,https://losangeles.craigslist.org/sgv/app/d/san-dimas-panda-portable-washer-dryer/7420981195.html,,,,like new,,,,,,,,,,panda,0,0,0,0,0,0,0,0
"
2021-12-0912:19
",4,https://losangeles.craigslist.org/sgv/hsh/d/pomona-brand-new-tall-plush-toys-bird/7418668125.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2106:01
",10,https://losangeles.craigslist.org/lgb/hsh/d/orange-quality-vintage-puzzles/7423443216.html,,,,,,,,,,,,,,PUZZLES,0,EATON / SPRINGBOK,0,0,0,0,0,0
"
2021-12-2308:29
",55,https://losangeles.craigslist.org/lgb/clt/d/lakewood-beer-stein/7424303245.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2222:01
",1,https://losangeles.craigslist.org/lgb/for/d/whittier-isopod/7424190902.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1112:15
",65,https://losangeles.craigslist.org/lgb/hab/d/orange-ruth-norman-new-york-ladies/7419541407.html,,,,excellent,,,,,,,,,,"""Ruth Norman"" Design",Ladies MEDIUM,EXOTIC ANIMAL PRINT CAFTAN,0,0,0,0,0,0
"
2021-12-2215:04
",24800,https://losangeles.craigslist.org/wst/bfd/d/portland-80-kw-merlin-mitsubishi-diesel/7424095204.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2209:56
",95000,https://losangeles.craigslist.org/sfv/bfs/d/pacoima-ice-cream-shop/7423958689.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1409:02
",0,https://losangeles.craigslist.org/sfv/clt/d/burbank-vintage-retired-ty-beanie/7420671122.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1508:01
",5,https://losangeles.craigslist.org/sfv/tag/d/games-for-xbox-360/7421071835.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2418:23
",65,https://losangeles.craigslist.org/lgb/wad/d/lakewood-wanted-mustang-fastback-mach/7412422864.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2116:09
",1700,https://losangeles.craigslist.org/sgv/clo/d/west-covina-authentic-brand-new-nike/7423719845.html,,,,new,,,,,,,,,,Nike x Off-White,US8.5,AJ4578-100,0,0,0,0,0,0
"
2021-12-0410:34
",400,https://losangeles.craigslist.org/sfv/for/d/encino-3m-99-polar-bear-pand-inflatable/7416429449.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2805:45
",10,https://losangeles.craigslist.org/lgb/hsh/d/orange-quality-vintage-puzzle/7413590194.html,,,,,,,,,,,,,,PUZZLES,0,EATON / SPRINGBOK,0,0,0,0,0,0
"
2021-11-2307:14
",100000,https://losangeles.craigslist.org/lac/wad/d/glendale-wanted-buying-hifi-audio/7411729144.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2307:05
",100000,https://losangeles.craigslist.org/lac/wad/d/glendale-buying-recording-equipment/7411724673.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1908:11
",10,https://losangeles.craigslist.org/lgb/tag/d/orange-quality-vintage-puzzles/7422707394.html,,,,,,,,,,,,,,PUZZLES,0,EATON / SPRINGBOK,0,0,0,0,0,0
"
2021-12-1907:49
",10,https://losangeles.craigslist.org/lgb/for/d/orange-quality-vintage-puzzles/7422698677.html,,,,,,,,,,,,,,PUZZLES,0,EATON / SPRINGBOK,0,0,0,0,0,0
"
2021-12-1210:25
",70,https://losangeles.craigslist.org/sgv/clo/d/west-covina-100-authentic-brand-new/7419861107.html,,,,new,,,,,,,,,,Supreme,Medium,0,0,0,0,0,0,0
"
2021-12-1210:29
",100,https://losangeles.craigslist.org/sgv/clo/d/west-covina-100-authentic-brand-new/7419863162.html,,,,new,,,,,,,,,,Supreme,Medium,0,0,0,0,0,0,0
"
2021-12-1514:53
",90,https://losangeles.craigslist.org/sgv/ele/d/west-covina-new-jbl-live-660nc-wireless/7421277584.html,,,,new,,,,,,,,,,JBL,0,660NC,0,0,0,0,0,0
"
2021-11-2910:06
",240,https://losangeles.craigslist.org/sgv/fuo/d/west-covina-preowned-excellent/7414137475.html,,,,excellent,,,,,,,,,,IKEA,0,0,0,0,0,0,0,0
"
2021-11-2009:11
",540,https://losangeles.craigslist.org/sgv/clo/d/west-covina-authentic-new-suicoke/7410525265.html,,,,new,,,,,,,,,,Mastermind x Suicoke,US9,0,0,0,0,0,0,0
"
2021-11-2900:20
",485,https://losangeles.craigslist.org/sgv/for/d/west-covina-snow-peak-amenity-dome-tent/7413952359.html,,,,like new,,,,,,,,,,Snow Peak,L 10' W 7.2' H 4',SDE-002RH and SET-022H,0,0,0,0,0,0
"
2021-12-2022:02
",850,https://losangeles.craigslist.org/wst/clt/d/joe-montana-signed-cel-woody-woodpecker/7423388646.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2720:24
",3,https://losangeles.craigslist.org/wst/tag/d/torrance-mixed-stuffed-animals-for-sale/7413530721.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2013:57
",100,https://losangeles.craigslist.org/wst/spo/d/torrance-fcs-ii-mark-richards-twin-fin/7423258055.html,,,,new,,,,,,,,,,FCS II 2,0,0,0,0,0,0,0,0
"
2021-12-2013:57
",135,https://losangeles.craigslist.org/wst/spo/d/torrance-fcs-ii-rob-machado-seaside-quad/7423257970.html,,,,new,,,,,,,,,,FCS II 2,0,0,0,0,0,0,0,0
"
2021-12-2012:46
",200,https://losangeles.craigslist.org/sfv/bik/d/north-hollywood-araya-26x175-japan-old/7423225210.html,,,,excellent,,,,,,,,,,Araya 26x1.75,0,Japan,0,aluminum,bmx,26,26 in,0
"
2021-12-2011:17
",25,https://losangeles.craigslist.org/lac/emd/d/los-angeles-latin-spanish-language-45/7423180167.html,,,,good,,,,,,,,,,0,0,0,vinyl,0,0,0,0,0
"
2021-11-2910:22
",299,https://losangeles.craigslist.org/lac/msg/d/los-angeles-snazzy-fx-wow-flutter-delay/7414147156.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1918:58
",140,https://losangeles.craigslist.org/wst/mob/d/studio-city-off-out-of-the-galaxy-ch1n/7422935796.html,,,,,,,,,,,,,,Good1,0,Tyco,0,0,0,0,0,android
"
2021-12-1907:21
",10,https://losangeles.craigslist.org/sfv/tag/d/valencia-vtech-vsmile-pocket-video-games/7422688930.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1817:58
",180,https://losangeles.craigslist.org/wst/sop/d/torrance-mechanical-keyboard-parts/7422577589.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2009:10
",1100,https://losangeles.craigslist.org/sgv/clt/d/west-covina-authentic-michael-lau/7410524943.html,,,,new,,,,,,,,,,0,420mm x 240mm x 240mm,0,0,0,0,0,0,0
"
2021-11-2009:11
",2750,https://losangeles.craigslist.org/sgv/clt/d/west-covina-100-authentic-brand-new/7410525403.html,,,,new,,,,,,,,,,0,31cm / 2.8kg,0,0,0,0,0,0,0
"
2021-11-2009:11
",100,https://losangeles.craigslist.org/sgv/clo/d/west-covina-100-auth-mens-vans-og-style/7410525064.html,,,,new,,,,,,,,,,Vans,US8.5,VN0A4BVE21D,0,0,0,0,0,0
"
2021-11-2009:16
",150,https://losangeles.craigslist.org/sgv/clo/d/west-covina-authentic-supreme-vans/7410528423.html,,,,new,,,,,,,,,,Vans/Supreme,US8.5,0,0,0,0,0,0,0
"
2021-12-1311:25
",2995000,https://losangeles.craigslist.org/lac/bfs/d/los-angeles-2-korea-town-sq-ft-for-sale/7420308580.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1709:49
",10,https://losangeles.craigslist.org/sfv/bab/d/valencia-new-dvds-disc-only-no-original/7421970783.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1709:11
",0,https://losangeles.craigslist.org/wst/vgm/d/ds-games/7421949501.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1622:01
",8000,https://losangeles.craigslist.org/lac/jwl/d/los-angeles-new-breitling-navitimer-46/7421804169.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1322:23
",100,https://losangeles.craigslist.org/lac/msg/d/glendale-many-mostly-boutique-guitar/7420529744.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-1813:15
",200,https://losangeles.craigslist.org/lac/clt/d/burbank-blanka-grin-figure-by-mindstyle/7409767551.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-0913:40
",190,https://losangeles.craigslist.org/lac/app/d/los-angeles-apartment-portablewasher/7418707671.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-0408:15
",0,https://losangeles.craigslist.org/wst/bfd/d/portland-425-acre-beautiful-farm-on-the/7416352063.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2810:58
",1,https://losangeles.craigslist.org/lac/wad/d/monroe-cash-for-your-car-now-running-or/7413721018.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2611:24
",21000,https://losangeles.craigslist.org/wst/bfd/d/portland-60-kw-onan-propane-or-natural/7412930637.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2609:00
",26800,https://losangeles.craigslist.org/wst/bfd/d/portland-100-kw-onan-propane-or-ng/7412852494.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2507:50
",36800,https://losangeles.craigslist.org/wst/bfd/d/portland-250-kw-onan-diesel-generator/7412535262.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-0312:41
",15,https://orangecounty.craigslist.org/vgm/d/tustin-indiana-jones-and-kung-fu-panda/7416050106.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2305:05
",10,https://orangecounty.craigslist.org/for/d/orange-500-piece-round-puzzle-eaton/7411681115.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-2213:34
",120,https://orangecounty.craigslist.org/tag/d/anaheim-hover-heart-electric-ride-on/7424060169.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-0315:04
",25,https://orangecounty.craigslist.org/spo/d/huntington-beach-girls-toddler-panda/7416119472.html,,,,new,,,,,,,,,,Cat & Jack,Toddler 5,0,0,0,0,0,0,0
"
2021-12-1205:37
",10,https://orangecounty.craigslist.org/bab/d/orange-panda-talk-round-puzzle/7419750579.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2209:53
",10,https://orangecounty.craigslist.org/for/d/orange-round-puzzle-panda-talk/7411367394.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-12-1212:43
",375,https://orangecounty.craigslist.org/spo/d/cypress-panda-surfboard/7419924012.html,,,,excellent,,,,,,,,,,Panda,"5'6""",Bear Essentials,0,0,0,0,0,0
"
2021-12-2112:44
",110,https://orangecounty.craigslist.org/for/d/orange-panda-mascot-costumemedium/7423637758.html,,,,excellent,,,,,,,,,,Unknown,Medium outfit.   Large head,0,0,0,0,0,0,0
"
2021-11-2708:26
",10,https://inlandempire.craigslist.org/tag/d/orange-panda-talk-round-puzzle/7413243537.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2120:53
",185,https://inlandempire.craigslist.org/tag/d/moreno-valley-robo-panda-robot-baby/7411175029.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2120:48
",185,https://inlandempire.craigslist.org/tag/d/moreno-valley-robo-panda-robot/7411174279.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
"
2021-11-2213:30
",15,https://ventura.craigslist.org/tag/d/newbury-park-aurora-world-large-panda/7411485425.html,,,,excellent,,,,,,,,,,Aurora World,0,Lin Lin,0,0,0,0,0,0
"
2021-12-0620:48
",0,https://bakersfield.craigslist.org/for/d/bakersfield-panda-pugs/7417501244.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
