DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,bicycle frame material,bicycle type,brake type,frame size,suspension,wheel size,size / dimensions,part type
"
2021-12-2315:08
",125,https://losangeles.craigslist.org/lgb/pts/d/long-beach-mercedes-w210-e320-tail/7424468991.html,,,,excellent,,,,,,,,,,mercedes,E320 E420,0,0,0,0,0,0,0,0
"
2021-12-2315:05
",55,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-honda-civic/7424467917.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0714:22
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-trans-am-honey-comb-right/7417834896.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0714:20
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-camaro-right-tail-light/7417833940.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1715:25
",20,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-93-sentra-nissan-right-tail/7422129755.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1715:23
",20,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-86-horizon-right-tail-light/7422128917.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1715:20
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-1980-ford-pickup-left-tail/7422127777.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3016:02
",40,https://losangeles.craigslist.org/sfv/pts/d/chatsworth-new-jeep-huge-led-tail-lights/7414787997.html,,,,new,,,,,,,,,,Realove,0,0,0,0,0,0,0,0,0
"
2021-12-2314:38
",80,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-honda-accord/7424459111.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1510:54
",275,https://losangeles.craigslist.org/sfv/pts/d/canoga-park-toyota-tacoma-tail-gate/7421167408.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:56
",450,https://losangeles.craigslist.org/ant/grd/d/lancaster-breeding-family-of-fat-tail/7424444707.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3011:07
",90,https://losangeles.craigslist.org/lac/pts/d/palmdale-1986-toyota-celica-left-tail/7414644464.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3020:58
",260,https://losangeles.craigslist.org/lac/pts/d/1985-chrysler-conquest-tail-light/7414870302.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3018:07
",325,https://losangeles.craigslist.org/lac/pts/d/1966-ford-galaxie-country-wagon-tail/7414831113.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3018:06
",200,https://losangeles.craigslist.org/lac/pts/d/1971-ford-galaxie-ltd-lh-tail-light/7414831017.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3016:13
",550,https://losangeles.craigslist.org/lac/pts/d/1966-mercedes-benz-230sl-tail-light/7414792331.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3016:06
",225,https://losangeles.craigslist.org/lac/pts/d/1975-alfa-romeo-spider-tail-light/7414789780.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3016:06
",75,https://losangeles.craigslist.org/lac/pts/d/1974-audi-100-tail-light-lens/7414789681.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3015:58
",260,https://losangeles.craigslist.org/lac/pts/d/1967-ford-mustang-tail-lghts/7414786578.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:21
",85,https://losangeles.craigslist.org/lac/pts/d/ford-mustang-tail-lights/7414686547.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3017:52
",500,https://losangeles.craigslist.org/lac/pts/d/1972-ford-ltd-tail-lights/7414826460.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3016:22
",400,https://losangeles.craigslist.org/lac/pts/d/1978-chevy-monte-carlo-bumpers-tail/7414795910.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3017:51
",300,https://losangeles.craigslist.org/lac/pts/d/1982-chevrolet-camaro-tail-lights/7414826141.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:20
",55,https://losangeles.craigslist.org/lac/pts/d/ford-mustang-tail-light-housing-grille/7414686323.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:20
",40,https://losangeles.craigslist.org/lac/pts/d/1965-ford-mustang-tail-light-grille/7414686164.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:11
",100,https://losangeles.craigslist.org/lac/pts/d/1970-vw-bug-tail-lights/7414681343.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:11
",165,https://losangeles.craigslist.org/lac/pts/d/1971-vw-bug-and-tail-lights/7414681173.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:05
",75,https://losangeles.craigslist.org/lac/pts/d/1974-vw-bug-tail-light/7414677986.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:05
",330,https://losangeles.craigslist.org/lac/pts/d/1960-volkswagon-tail-lights/7414678284.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3012:05
",75,https://losangeles.craigslist.org/lac/pts/d/1966-vw-bug-tail-light/7414677834.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:30
",110,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-chevy-express/7424435715.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2213:59
",1999,https://losangeles.craigslist.org/lac/fod/d/fullerton-tail-fin-7ft-8ft-pool-table/7424069831.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:30
",18900,https://losangeles.craigslist.org/sfv/mcy/d/woodland-hills-2002-harley-davidson/7424435533.html, harley davidson, har,200,,,,gas,,,,manual,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:21
",0,https://losangeles.craigslist.org/sgv/pts/d/bell-1958-ford-thunderbird-original/7424432237.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2712:03
",25,https://losangeles.craigslist.org/sfv/pts/d/valley-village-chrysler-sebring-sedan/7413364501.html,,,,excellent,,,,,,,,,,Chrysler,2006  Sebring Sedan,0,0,0,0,0,0,0,0
"
2021-12-1201:17
",40,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-honda-civic/7419723919.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1122:18
",95,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-toyota-prius/7419710827.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1117:49
",95,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-toyota-tacoma/7419664324.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1117:19
",295,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-gate-toyota-tacoma/7419657127.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1115:50
",55,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-chevy-cruze/7419630275.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1114:17
",90,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-scion-tc/7419596359.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1114:05
",100,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-honda-civic/7419591296.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1113:17
",50,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-toyota-corolla/7419570576.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0516:52
",75,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-toyota/7416975766.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0513:18
",55,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-dodge-ram/7416897435.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2921:28
",55,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-nissan-titan/7414414108.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1516:18
",30,https://losangeles.craigslist.org/sgv/msg/d/all-parts-wrap-around-tail-pcs/7421309750.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2923:04
",20,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-light-covers-smoke/7414426237.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2922:52
",20,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-light-covers-smoke/7414425056.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2914:56
",90,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-hyundai-accent/7414296704.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2320:35
",85,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-nissan-sentra/7412053960.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2316:19
",55,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-dodge-durango/7411990651.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2315:49
",90,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-toyota-tundra/7411980020.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1110:42
",20,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-gate-handle-bezel/7419491592.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0914:29
",95,https://losangeles.craigslist.org/lac/mpo/d/south-gate-1983-to-1986-honda-cb650-sc/7418730399.html,,,,excellent,,,,,,,,,,Honda CB650 SC Nighthawk,Honda CB650 SC Nighthawk,0,0,0,0,0,0,0,0
"
2021-11-2312:54
",95,https://losangeles.craigslist.org/lac/mpo/d/south-gate-1983-to-1986-honda-cb650-sc/7411907096.html,,,,excellent,,,,,,,,,,Honda CB650 SC Nighthawk,Honda CB650 SC Nighthawk,0,0,0,0,0,0,0,0
"
2021-12-0417:50
",350,https://losangeles.craigslist.org/lac/pts/d/fresno-1968-plymouth-road-runner-tail/7416614957.html,,,,,,,,,,,,,,PLymouth,Road runner Satellite,0,0,0,0,0,0,0,0
"
2021-12-0913:35
",250,https://losangeles.craigslist.org/sfv/pts/d/fresno-plymouth-road-runner-tail-light/7418705593.html,,,,excellent,,,,,,,,,,plymouth,road runner,0,0,0,0,0,0,0,0
"
2021-12-2312:17
",40,https://losangeles.craigslist.org/sfv/mpo/d/burbank-cortech-sport-bike-tail-bag/7424407544.html,,,,excellent,,,,,,,,,,Cortech,0,0,0,0,0,0,0,0,0
"
2021-12-2312:09
",100,https://losangeles.craigslist.org/sfv/pts/d/granada-hills-mercedes-560-sec-head/7424404403.html,delivery available,deli,,excellent,,,,,,,,,,Mercedes,0,0,0,0,0,0,0,0,0
"
2021-11-2810:20
",355,https://losangeles.craigslist.org/sfv/bik/d/burbank-northrock-xc6-mountain-bike/7413702784.html,,,,excellent,,,,,,,,,,NORTHROCK,XC 6,aluminum,mountain,disc (mechanical),18 inches,suspension fork (hardtail),26 in,0,0
"
2021-12-1509:56
",150,https://losangeles.craigslist.org/sgv/pts/d/el-monte-toyota-rav4-passenger-side/7421135738.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0418:03
",1,https://losangeles.craigslist.org/lac/pts/d/los-angeles-1962-bug-beetle-tail-lights/7416618013.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2811:52
",1,https://losangeles.craigslist.org/lgb/pts/d/signal-hill-ram-factory-tail-lights-air/7413747333.html,,,,excellent,,,,,,,,,,Ram 1500 Mopar 2500,Ram Dodge,0,0,0,0,0,0,0,0
"
2021-11-2701:18
",20,https://losangeles.craigslist.org/lac/pts/d/volvo-right-passenger-side-tail-light/7413142663.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0209:02
",160,https://losangeles.craigslist.org/sfv/grd/d/burbank-mermaid-tail-crested-senecio/7415480505.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1910:30
",80,https://losangeles.craigslist.org/wst/pts/d/wilmington-2007-to-2013-chevy-tahoe/7422765634.html,,,,,,,,,,,,,,Chevy,Tahoe,0,0,0,0,0,0,0,0
"
2021-12-2309:42
",300,https://losangeles.craigslist.org/wst/pts/d/chevy-tail-gate/7424338625.html,,,,excellent,,,,,,,,,,chevy,pickup 1500,0,0,0,0,0,0,0,0
"
2021-12-0909:20
",225,https://losangeles.craigslist.org/wst/pts/d/wilmington-2015-to-2019-chevy-tahoe/7418569026.html,,,,,,,,,,,,,,Chevy,Tahoe/Suburban,0,0,0,0,0,0,0,0
"
2021-12-1809:01
",40,https://losangeles.craigslist.org/wst/pts/d/wilmington-2002-to-2006-chevy-avalanche/7422356610.html,,,,,,,,,,,,,,Chevy,Avalanche,0,0,0,0,0,0,0,0
"
2021-12-1409:14
",80,https://losangeles.craigslist.org/wst/pts/d/wilmington-2015-to-2017-ford-f150-tail/7420678063.html,,,,,,,,,,,,,,Ford,F150,0,0,0,0,0,0,0,0
"
2021-12-0209:37
",90,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2013-soul-tail-lights/7415501903.html,,,,like new,,,,,,,,,,kia,sul,0,0,0,0,0,0,0,0
"
2021-12-0209:36
",80,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2012-civic-hatchback-right/7415501198.html,,,,excellent,,,,,,,,,,Honda,Civic Hybrid,0,0,0,0,0,0,0,0
"
2021-12-0209:32
",80,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2010-hyundai-genesis-tail/7415498556.html,,,,like new,,,,,,,,,,Hyundai,Genesis,0,0,0,0,0,0,0,0
"
2021-12-0209:31
",80,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2016-crosstrek-tail-lights/7415498010.html,,,,like new,,,,,,,,,,subaru,Crosstrek,0,0,0,0,0,0,0,0
"
2021-12-0209:30
",85,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2018-impreza-tail-lights/7415497757.html,,,,like new,,,,,,,,,,Subaru,Impreza,0,0,0,0,0,0,0,0
"
2021-12-0709:26
",100,https://losangeles.craigslist.org/sfv/wto/d/van-nuys-2012-sportage-inner-tail-lights/7417675317.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0709:32
",75,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2008-rx350-tail-light/7417678517.html,,,,like new,,,,,,,,,,Lexus,RX 350,0,0,0,0,0,0,0,0
"
2021-11-2709:08
",150,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2014-a4-tail-light/7413266944.html,,,,like new,,,,,,,,,,Audi,A4,0,0,0,0,0,0,0,0
"
2021-11-2709:04
",80,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2016-mazda3-tail-lights/7413264316.html,,,,like new,,,,,,,,,,Mazda,Mazda3,0,0,0,0,0,0,0,0
"
2021-12-1611:25
",10,https://losangeles.craigslist.org/sfv/bab/d/sherman-oaks-two-knit-kids-mermaid-tail/7421599492.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0814:51
",40,https://losangeles.craigslist.org/sfv/pts/d/2004-toyota-scion-tail-light/7418297697.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1420:48
",6500,https://losangeles.craigslist.org/sgv/tls/d/san-dimas-graziano-sag-14-lathe-with/7420952668.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2811:52
",85,https://losangeles.craigslist.org/lac/pts/d/los-angeles-2001-to-2003-mercedes-benz/7413747245.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0306:38
",799,https://losangeles.craigslist.org/lac/pts/d/honda-ridgeline-tail-gate/7415852012.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2812:27
",75,https://losangeles.craigslist.org/lac/pts/d/los-angeles-subaru-crosstrek-oem-lh/7413764005.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1708:36
",259,https://losangeles.craigslist.org/lac/pts/d/infinity-qx50-passenger-side-tail-lamp/7421930299.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1708:35
",699,https://losangeles.craigslist.org/lac/pts/d/2018-honda-ridgeline-tail-gate-rear-door/7421929548.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2719:57
",299,https://losangeles.craigslist.org/lac/pts/d/2014-ford-f250-super-duty-tail-gate/7413525784.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2720:19
",259,https://losangeles.craigslist.org/lac/pts/d/2018-chevy-suburban-driver-side-tail/7413529854.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2909:17
",250,https://losangeles.craigslist.org/sgv/pts/d/san-dimas-2019-toyota-tundra-oem/7414106027.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0106:31
",89,https://losangeles.craigslist.org/lac/pts/d/hyundai-elantra-driver-left-side-inner/7414952032.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2508:06
",399,https://losangeles.craigslist.org/sgv/mpo/d/monterey-park-top-case-tail-box-honda/7412540723.html,,,,excellent,,,,,,,,,,Honda,Topbox Topcase,0,0,0,0,0,0,0,0
"
2021-12-1117:55
",10000,https://losangeles.craigslist.org/sgv/hvo/d/temple-city-24k-lbs-trailer-20-deck/7419665863.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2306:46
",199,https://losangeles.craigslist.org/lgb/pts/d/south-gate-2015-to-2018-mercedes-benz/7424259139.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2306:46
",189,https://losangeles.craigslist.org/lgb/pts/d/south-gate-toyota-highlander-driver/7424259195.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3005:51
",79,https://losangeles.craigslist.org/lgb/pts/d/south-gate-2015-nissan-altima-driver/7414475418.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2305:43
",159,https://losangeles.craigslist.org/lgb/pts/d/south-gate-ford-transit-passenger-side/7424238499.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2305:36
",199,https://losangeles.craigslist.org/lgb/pts/d/south-gate-2016-through-2019-mercedes/7424236836.html,cryptocurrency ok,cryp,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0906:34
",20,https://losangeles.craigslist.org/lgb/tag/d/long-beach-giant-rose-gold-mermaid-tail/7418483500.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0201:50
",180,https://losangeles.craigslist.org/wst/pts/d/huntington-park-silverado-tail-lights/7415352771.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0115:34
",750,https://losangeles.craigslist.org/sgv/grd/d/south-pasadena-pony-tail-bottle-palm/7415231907.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2223:07
",160,https://losangeles.craigslist.org/lgb/for/d/downey-gmc-silverado-tail-lights/7424197856.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1813:28
",10,https://losangeles.craigslist.org/sfv/pts/d/pair-of-pm-trailer-start-turn-tail/7422490725.html,,,,new,,,,,,,,,,Peterson Manufacturing,V335-2,0,0,0,0,0,0,0,0
"
2021-12-2221:55
",29,https://losangeles.craigslist.org/sgv/fuo/d/rosemead-twin-head-tail-boards/7424190090.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,Twin,0
"
2021-12-1023:52
",100,https://losangeles.craigslist.org/ant/pts/d/lancaster-gm-5th-wheel-vented-tail-gate/7419310681.html,,,,,,,,,,,,,,Stromberg carlson,VGM-07-100,0,0,0,0,0,0,0,0
"
2021-11-2511:15
",20,https://losangeles.craigslist.org/sfv/pts/d/tarzana-mopar-tail-light-assembly/7412602082.html,,,,excellent,,,,,,,,,,Mopar,0,0,0,0,0,0,0,0,0
"
2021-12-1321:54
",35,https://losangeles.craigslist.org/lac/spo/d/los-angeles-coleman-tail-gate-table/7420526051.html,,,,excellent,,,,,,,,,,Ikea,0,0,0,0,0,0,0,regular seating,0
"
2021-12-1209:23
",70,https://losangeles.craigslist.org/sfv/pts/d/van-nuys-2013-tiguan-tail-lights/7419832984.html,,,,excellent,,,,,,,,,,Volkswagen,Tiguan,0,0,0,0,0,0,0,0
"
2021-12-2016:27
",200,https://losangeles.craigslist.org/lac/pts/d/los-angeles-oem-lexus-tail-lights-is350/7423314553.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0717:51
",0,https://losangeles.craigslist.org/sgv/pts/d/pasadena-1965-ford-fairlane-wagon-tail/7417914141.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-2413:06
",100,https://losangeles.craigslist.org/wst/pts/d/gardena-4x4-tail-housing/7412323114.html,,,,new,,,,,,,,,,ford,RF-F67P-7A040-AA,0,0,0,0,0,0,0,0
"
2021-11-2612:13
",20,https://losangeles.craigslist.org/wst/bop/d/el-segundo-axiom-flashpoint-ultra/7412954931.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,"lights, computers, accessories"
