DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,length overall (LOA),make / manufacturer,model name / number,propulsion type,year manufactured,size / dimensions,rv type,bicycle frame material,bicycle type,brake type,electric assist,frame size,handlebar type,wheel size,engine hours (total)
"
2021-12-0419:20
",89000,https://losangeles.craigslist.org/wst/boa/d/earp-280-world-class-cole-cruiser/7416634719.html,,,,,,,,,,,,,,30,Cole,280S,power,2000,0,0,0,0,0,0,0,0,0,0
"
2021-12-0410:57
",0,https://losangeles.craigslist.org/wst/had/d/beverly-hills-japanese-massage-chairs/7416442653.html,,,,new,,,,,,,,,,0,Synca Wellness,JP-1100 KAGRA CirC,0,0,SMALL,0,0,0,0,0,0,0,0,0
"
2021-11-2122:48
",0,https://losangeles.craigslist.org/sfv/fuo/d/valley-village-old-world-antique/7411188988.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2312:24
",480,https://losangeles.craigslist.org/sfv/atq/d/sherman-oaks-rare-ww2-1st-class-german/7424410609.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2306:06
",28495,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2016-mercedes-benz-class-350/7424245696.html,2016 Mercedes-Benz E-Class,2016,63140,,6 cylinders,rwd,gas,blue,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2304:07
",45494,https://losangeles.craigslist.org/lgb/ctd/d/torrance-2018-mercedes-benz-class-300/7424220759.html,2018 Mercedes-Benz C-Class,2018,24156,,4 cylinders,rwd,gas,black,sub-compact,clean,automatic,convertible,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:54
",61491,https://losangeles.craigslist.org/sgv/ctd/d/valencia-2018-mercedes-benz-class-amg/7424016386.html,2018 Mercedes-Benz E-Class,2018,23623,,6 cylinders,4wd,gas,blue,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2207:03
",22000,https://losangeles.craigslist.org/wst/rvs/d/malibu-2002-georgie-boy-suite-life/7423873325.html, Georgie Boy Suite Life, Geo,57000,good,,,gas,,,,automatic,,5B4KP57G61333499,0,0,0,0,0,29 feet,class A,0,0,0,0,0,0,0,0
"
2021-12-2203:13
",29625,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-mercedes-benz-class-300/7423819498.html,2018 Mercedes-Benz C-Class,2018,35412,,4 cylinders,rwd,gas,white,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2213:46
",2650,https://losangeles.craigslist.org/wst/ele/d/torrance-plinius-sa-100-mkiii-class-a/7411492661.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1514:30
",3500,https://losangeles.craigslist.org/sfv/ctd/d/santa-paula-2002-mercedes-benz-class/7421268033.html,2002 Mercedes-Benz S-Class,2002,288500,excellent,8 cylinders,rwd,gas,grey,,clean,manual,sedan,WDBNG70JX2A315726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0912:40
",27595,https://losangeles.craigslist.org/lac/ctd/d/costa-mesa-2012-mercedes-benz-cls-class/7418678981.html,2012 Mercedes-Benz CLS,2012,51655,,8 cylinders,4wd,gas,brown,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1719:20
",19980,https://losangeles.craigslist.org/lgb/ctd/d/henderson-1985-mercedes-benz-500-sel/7422198418.html,1985 Mercedes-Benz 500-Class,1985,63920,,8 cylinders,rwd,gas,black,,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1410:48
",61491,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-mercedes-benz-class-amg/7420730414.html,2018 Mercedes-Benz E-Class,2018,23623,,6 cylinders,4wd,gas,blue,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1019:59
",37900,https://losangeles.craigslist.org/wst/ctd/d/tempe-2007-mercedes-benz-sl-class-2dr/7419280367.html,2007 Mercedes-Benz SL-Class 2DR Roads,2007,42225,,8 cylinders,,gas,black,,clean,manual,convertible,WDBSK72FX7F129057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1014:31
",34500,https://losangeles.craigslist.org/wst/rvs/d/los-angeles-1999-minnie-winnie/7419176672.html,1999 ford winnebago,1999,39000,excellent,,,gas,white,,clean,automatic,,1FDXE40S0WHC08216,0,0,0,0,0,31x7x10,class C,0,0,0,0,0,0,0,0
"
2021-12-0914:26
",900,https://losangeles.craigslist.org/sfv/msg/d/tujunga-midas-xl48-channel-mic-preamp/7418728830.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:12
",3295,https://losangeles.craigslist.org/sgv/mcd/d/las-vegas-2018-suzuki-gsx250r-finance/7424429123.html,2018 Suzuki GSX250R,2018,11250,,,,gas,white,,clean,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0713:21
",120,https://losangeles.craigslist.org/lac/spo/d/riverside-pass-premier-steel-soccer/7417805393.html,delivery available,deli,,,,,,,,,,,,0,Petra Sports & Leisure,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0713:22
",80,https://losangeles.craigslist.org/lac/spo/d/riverside-pass-rebounder-and-in-soccer/7417806003.html,delivery available,deli,,,,,,,,,,,,0,Petra Sports & Leisure,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0614:34
",3399,https://losangeles.craigslist.org/sfv/ele/d/woodland-hills-universal-audio-apollo/7417383405.html,,,,new,,,,,,,,,,0,UNIVERSAL AUDIO,X8P,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3014:17
",0,https://losangeles.craigslist.org/lac/ele/d/los-angeles-dj-vegas-double-15/7414744660.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1517:19
",6200,https://losangeles.craigslist.org/wst/pho/d/altadena-zeiss-pl-mount-cine-zoom-lens/7421329554.html,,,,like new,,,,,,,,,,0,Zeiss,CP Zoom,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2309:44
",6200,https://losangeles.craigslist.org/sfv/pho/d/altadena-zeiss-pl-mount-cine-zoom-lens/7424339336.html,,,,like new,,,,,,,,,,0,Zeiss,CP Zoom,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0519:24
",4000,https://losangeles.craigslist.org/wst/ele/d/santa-monica-mcintosh-mc2500-amplifier/7417016271.html,,,,,,,,,,,,,,0,McIntosh,MC2500,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0314:02
",1200,https://losangeles.craigslist.org/sfv/ele/d/woodland-hills-apogee-element-x16/7416090300.html,,,,new,,,,,,,,,,0,APOGEE,ELEMENT 88,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3020:11
",195,https://losangeles.craigslist.org/lac/art/d/los-angeles-original-vintage-pastel/7414861553.html,,,,,,,,,,,,,,0,0,0,0,0,"11"" x 14""",0,0,0,0,0,0,0,0,0
"
2021-12-1609:08
",0,https://losangeles.craigslist.org/lac/ele/d/los-angeles-vegas-double-15-bluetooth/7421526008.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2309:13
",489,https://losangeles.craigslist.org/sgv/tag/d/santa-fe-springs-team-energy-c8st-8/7424324689.html,,,,new,,,,,,,,,,0,xheli,97C775-C8st-EP-Truggy-RTR-24G,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3014:42
",0,https://losangeles.craigslist.org/lac/msg/d/los-angeles-korg-krome-88-keyboard/7414755355.html,,,,new,,,,,,,,,,0,KORG,KROME88,0,0,57.01 x 15.08 x 5.16 inches,0,0,0,0,0,0,0,0,0
"
2021-12-0109:51
",0,https://losangeles.craigslist.org/wst/fuo/d/manhattan-beach-redecorating-lots-of/7415057353.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0609:13
",2399,https://losangeles.craigslist.org/lgb/bik/d/bellflower-cheetah-cafe-racer-bike/7417204525.html,delivery available,deli,,new,,,,,,,,,,0,0,0,0,0,0,0,alloy,cruiser,disc (hydraulic),throttle,medium to XL,cruiser,29 in,0
"
2021-12-0607:33
",40,https://losangeles.craigslist.org/sfv/vgm/d/glendale-power-pad-nes-nintendo-for-sale/7417145017.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0505:51
",25,https://losangeles.craigslist.org/sfv/bks/d/exhumed-obscura-suppliment/7416704579.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2305:55
",32890,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2015-dodge-challenger-t-scat/7424241839.html,2015 Dodge Challenger,2015,62710,,8 cylinders,rwd,gas,grey,mid-size,clean,manual,coupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0623:39
",45,https://losangeles.craigslist.org/lac/ele/d/lynwood-nba-2k22-brand-new-ps5/7417523379.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3009:10
",975,https://losangeles.craigslist.org/sfv/msg/d/artley-wood-piccolo-with-headjoints/7414574333.html,,,,good,,,,,,,,,,0,Artley,Piccolo,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2220:44
",850,https://losangeles.craigslist.org/sfv/msg/d/sylmar-ssl-solid-state-logic-xlogic/7424180602.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:55
",599,https://losangeles.craigslist.org/lac/clt/d/allentown-lebron-james-upper-deck-card/7424160782.html,,,,new,,,,,,,,,,0,Upper Deck,1545,0,0,5.5 x 3.25 inches,0,0,0,0,0,0,0,0,0
"
2021-12-1120:05
",450,https://losangeles.craigslist.org/sfv/mpo/d/burbank-shoei-vfx-evo-grant3-off-road/7419691829.html,,,,new,,,,,,,,,,0,SHOEI,VFX-EVO GRANT3,0,0,MEDIUM,0,0,0,0,0,0,0,0,0
"
2021-12-2216:52
",1540,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-bosch-800-series-24/7424130052.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2216:52
",860,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-lg-steam-electric-dryer/7424129995.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2216:45
",1960,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-bosch-800-series-27/7424127969.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2215:59
",650,https://losangeles.craigslist.org/sfv/msg/d/calabasas-sherman-filterbank-desktop/7424113295.html,,,,excellent,,,,,,,,,,0,Sherman,Filterbank 2 Desktop,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2216:10
",2000,https://losangeles.craigslist.org/wst/msg/d/venice-dr-bills-silver-bullets-by/7424117081.html,,,,like new,,,,,,,,,,0,Louder than lift off,Sillver bullet,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2015:12
",2000,https://losangeles.craigslist.org/lac/msg/d/los-angeles-blue-microphones-bottle/7423288258.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2215:00
",0,https://losangeles.craigslist.org/lac/ctd/d/fontana-2018-ford-expedition-limited/7424093351.html,2018 Ford Expedition LIMITED X,2018,70519,,other,4wd,other,,,,automatic,,1FMJU2AT7JEA71404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2214:36
",2590,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-bosch-800-series-36/7424084889.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2214:35
",920,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-lg-27-inch-73-cu-ft/7424084414.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2214:28
",700,https://losangeles.craigslist.org/wst/msg/d/santa-monica-apogee-quartet/7424081751.html,,,,excellent,,,,,,,,,,0,Apogee,Quartet,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2213:38
",1900,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-bosch-300-series-36/7424061662.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1810:57
",75,https://losangeles.craigslist.org/wst/sop/d/costa-mesa-crucial-p5-500tb-nvme-ssd-new/7422419508.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:52
",6995,https://losangeles.craigslist.org/wst/ctd/d/costa-mesa-2005-infiniti-qx56-4x4-4wd/7424015242.html,2005 INFINITI QX56,2005,228441,,8 cylinders,4wd,gas,custom,full-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0612:11
",20,https://losangeles.craigslist.org/wst/pts/d/gardena-used-egr-valve-for-lexus-toyota/7417309921.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:35
",12795,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-2007-chevrolet-chevy-tahoe/7424007695.html,2007 CHEVROLET TAHOE,2007,148975,,,fwd,gas,,,clean,,SUV,1GNFC13C77J399806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:35
",9995,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-2012-dodge-charger-se-4dr/7424007851.html,2012 DODGE CHARGER,2012,160121,,,rwd,other,blue,full-size,clean,,sedan,2C3CDXBG7CH207171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:34
",9995,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-2013-kia-optima-lx-4dr-sedan/7424007327.html,2013 KIA OPTIMA,2013,151267,,,,gas,,,clean,,sedan,5XXGM4A75DG118703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:35
",11495,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-2015-hyundai-sonata-se-4dr/7424007474.html,2015 HYUNDAI SONATA,2015,125882,,,,gas,blue,full-size,clean,,sedan,5NPE24AF9FH125374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2213:11
",50,https://losangeles.craigslist.org/lac/spo/d/los-angeles-ikuram-kayak-surf-surfboard/7411476198.html,delivery available,deli,,new,,,,,,,,,,0,IKURAM,KRK-F020A,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:07
",1600,https://losangeles.craigslist.org/sfv/spo/d/chatsworth-stages-sc3-indoor-bike-mat/7423993871.html,,,,new,,,,,,,,,,0,Stages,SC3,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:23
",150,https://losangeles.craigslist.org/wst/tag/d/redondo-beach-sc-10-ready-to-run/7424001913.html,,,,,,,,,,,,,,0,RC10,SC10,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2900:46
",975,https://losangeles.craigslist.org/sgv/pts/d/downey-5-ford-transmission-fresh/7413954102.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1911:37
",300,https://losangeles.craigslist.org/wst/spo/d/manhattan-beach-hockey-dryland-floor/7422793570.html,,,,excellent,,,,,,,,,,0,Better Hockey,0,0,0,100 sq ft with 47 18x18 tiles,0,0,0,0,0,0,0,0,0
"
2021-11-3008:55
",75,https://losangeles.craigslist.org/lac/ele/d/glendale-plantronics-backbeat-pro/7414565409.html,,,,new,,,,,,,,,,0,Plantronics,BackBeat PRO 2,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2208:40
",47999,https://losangeles.craigslist.org/wst/ctd/d/inglewood-2016-land-rover-range-rover/7423919008.html,2016 Land Rover Range HSE,2016,68218,good,6 cylinders,4wd,gas,,,clean,automatic,other,SALGS2PF4GA313984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2207:14
",1100,https://losangeles.craigslist.org/wst/msg/d/santa-monica-line-helix-guitar-multi/7423877845.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2207:13
",37998,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2019-lexus-es-300h-es-300h/7423877162.html,2019 Lexus ES 300h,2019,30283,,4 cylinders,fwd,hybrid,white,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1200:11
",40,https://losangeles.craigslist.org/sfv/ele/d/chatsworth-video-mic-me-new/7419720473.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2923:48
",250,https://losangeles.craigslist.org/sgv/for/d/west-covina-jabra-evolve-75-uc-wireless/7414429909.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0910:40
",735,https://losangeles.craigslist.org/lac/msg/d/los-angeles-yamaha-dgx-key-digital/7418614718.html,,,,like new,,,,,,,,,,0,Yamaha,DGX-660,0,0,55-1/16” X 29-15/16” X 17-1/2”,0,0,0,0,0,0,0,0,0
"
2021-12-2117:37
",1800,https://losangeles.craigslist.org/sfv/msg/d/la-canada-flintridge-roland-fantom-g8/7423746295.html,,,,like new,,,,,,,,,,0,Roland,Fantom G8,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2116:17
",525,https://losangeles.craigslist.org/wst/pho/d/los-angeles-tamron-sp-24-70mm-28-di-vc/7423722724.html,,,,excellent,,,,,,,,,,0,Tamron,24-70mm f/2.8 Di VC for Canon,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0107:55
",1000,https://losangeles.craigslist.org/lgb/app/d/jura-impressa-xs90-one-touch-automatic/7414991367.html,,,,excellent,,,,,,,,,,0,Jura,XS90 One Touch,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1413:06
",310,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-jabra-evolve-75-wireless/7420801632.html,,,,like new,,,,,,,,,,0,Jabra,Evolve 75,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2114:47
",1200,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-brand-new-brooklyn-bedding/7423690245.html,delivery available,deli,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2113:43
",100000,https://losangeles.craigslist.org/lac/wad/d/glendale-buying-recording-equipment/7423664105.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2113:00
",5995,https://losangeles.craigslist.org/sfv/mcd/d/las-vegas-2014-triumph-thunderbird-lt/7423644684.html,2014 Triumph Thunderbird LT ABS,2014,74204,,,,gas,blue,,clean,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2112:24
",37391,https://losangeles.craigslist.org/wst/ctd/d/torrance-2018-subaru-wrx-sti-limited/7423628507.html,2018 Subaru WRX,2018,34558,,4 cylinders,4wd,gas,red,compact,clean,manual,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2111:33
",37995,https://losangeles.craigslist.org/wst/ctd/d/torrance-2017-bmw-series-540i/7423604052.html,2017 BMW 5 Series,2017,24540,,6 cylinders,rwd,gas,black,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2111:08
",41995,https://losangeles.craigslist.org/sgv/ctd/d/cerritos-2014-chevrolet-camaro-zl1-skue/7423591277.html,2014 Chevrolet Camaro,2014,32585,,8 cylinders,rwd,gas,white,compact,clean,automatic,coupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1411:04
",300,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-dbx-160x-single-channel/7420739101.html,,,,good,,,,,,,,,,0,DBX,160X Compressor / Limiter,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2106:18
",37250,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2016-dodge-durango-t-skugc-suv/7423449234.html,2016 Dodge Durango,2016,37338,,8 cylinders,rwd,gas,grey,mid-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2105:49
",49995,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2016-chevrolet-corvette-1lt/7423439451.html,2016 Chevrolet Corvette,2016,20693,,8 cylinders,rwd,gas,grey,sub-compact,clean,manual,coupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1316:37
",3000,https://losangeles.craigslist.org/lac/msg/d/los-angeles-new-in-box-antelope-audio/7420450533.html,,,,new,,,,,,,,,,0,Antelope Audio,orion 32+,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2017:11
",700,https://losangeles.craigslist.org/lgb/msg/d/long-beach-supro-galaxy-combo/7423328257.html,,,,good,,,,,,,,,,0,Supro,Galaxy,0,0,21x9x19,0,0,0,0,0,0,0,0,0
"
2021-12-2014:27
",12345,https://losangeles.craigslist.org/wst/grd/d/oak-view-training-rider-and-horse/7423271101.html,,,,salvage,,,,,,,,,,0,Wherro,Vakerro,0,0,Enuff,0,0,0,0,0,0,0,0,0
"
2021-12-2014:20
",800,https://losangeles.craigslist.org/sfv/fuo/d/burbank-video-editor-recording-studio/7423268236.html,,,,good,,,,,,,,,,0,TBC Consoles,0,0,0,"63""x90""x27""",0,0,0,0,0,0,0,0,0
"
2021-12-2012:51
",7500,https://losangeles.craigslist.org/wst/pts/d/harbor-city-ls6-383ci-stroker-engine/7423227345.html,,,,excellent,,,,,,,,,,0,GM,LS6,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1308:44
",109000,https://losangeles.craigslist.org/lgb/boa/d/wilmington-vagabond-ketch/7420216096.html,,,,good,,,,,,,,,,47,Vagabond,Ketch,sail,1984,0,0,0,0,0,0,0,0,0,2687
"
2021-12-1710:20
",30,https://losangeles.craigslist.org/lgb/tag/d/downey-nes-games/7421988195.html,,,,,,,,,,,,,,0,Nintendo,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2006:57
",1,https://losangeles.craigslist.org/sgv/bks/d/san-gabriel-books-manufacturing/7423042533.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2006:18
",35995,https://losangeles.craigslist.org/wst/ctd/d/torrance-2017-chevrolet-silverado-1500/7423027145.html,2017 Chevrolet Silverado 1500,2017,80097,,8 cylinders,4wd,gas,custom,full-size,clean,automatic,pickup,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2004:47
",31992,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2017-ford-explorer-limited/7423002035.html,2017 Ford Explorer,2017,45036,,4 cylinders,fwd,gas,custom,full-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
